Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Adicionar descontos ao pedido,Firefox 96.0,,,2022-02-08 15:33:49,2022-02-08 15:34:22,"32,757s",FAILED
,,,,,,,
Test Cases/TC01- Adicionar descontos ao pedido,Firefox 96.0,,,2022-02-08 15:33:49,2022-02-08 15:34:06,"16,929s",PASSED
"openBrowser("""")",Firefox 96.0,,,2022-02-08 15:33:50,2022-02-08 15:33:55,"4,813s",PASSED
"navigateToUrl(""http://172.16.1.21:7802/pt/account/login?returnUrl=%2Fpedidos"")",Firefox 96.0,,,2022-02-08 15:33:55,2022-02-08 15:33:56,"1,093s",PASSED
"setText(findTestObject(""Object Repository/Page_Dataplace - SFA/input_Nome de usurio ou endereo de email_email""), ""mayara.moraes@dataplace.com.br"")",Firefox 96.0,,,2022-02-08 15:33:56,2022-02-08 15:33:57,"0,893s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Dataplace - SFA/input_Senha_senha""), ""jBu/h84nUum0DzfFUdyvAQ=="")",Firefox 96.0,,,2022-02-08 15:33:57,2022-02-08 15:33:57,"0,547s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace - SFA/button_Login""))",Firefox 96.0,,,2022-02-08 15:33:57,2022-02-08 15:33:58,"0,724s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/div_1631""))",Firefox 96.0,,,2022-02-08 15:33:58,2022-02-08 15:33:59,"1,049s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/button_R54,00_minibutton btn default-btn bt_b87cf5""))",Firefox 96.0,,,2022-02-08 15:33:59,2022-02-08 15:34:00,"0,795s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Dataplace SFA/div_R30,00""), ""R$ 30,00"")",Firefox 96.0,,,2022-02-08 15:34:00,2022-02-08 15:34:00,"0,375s",PASSED
